player_name,team_name,position,partidos_historial,promedio_winning,promedio_ponderado
Ángel Stringa,Deportivo Riestra,DEL,2,2.758,2.334
Nicolás Guerra,Instituto De Córdoba,DEL,20,2.349,2.327
Junior Arias,Aldosivi,DEL,11,2.36,2.319
Abiel Osorio,Defensa y Justicia,DEL,4,2.506,2.282
Ryoga Kida,Argentinos Juniors,DEL,5,1.843,2.281
Bruno Sepúlveda,Banfield,DEL,17,2.243,2.191
Lucas Passerini,Club Atlético Belgrano,DEL,23,2.293,2.188
Facundo Valdéz,CA Independiente,DEL,6,1.761,2.183
Alexis González,Sarmiento,DEL,2,1.655,2.15
Iker Zufiaurre,Boca Juniors,DEL,9,2.115,2.132
Alexis Segovia,Atlético Tucumán,DEL,7,1.97,2.13
Lautaro Gutierrez,Club Atlético Belgrano,DEL,18,2.135,2.123
Leonardo Sequeira,Huracán,DEL,10,1.96,2.103
Carlos Abeldano,Atlético Tucumán,DEL,9,1.997,2.088
Gonzalo Lencina,Club Atlético Platense,DEL,14,2.058,2.087
Manuel Fernandez,Tigre,DEL,6,1.891,2.082
Blas Armoa,Gimnasia y Esgrima Mendoza,DEL,9,2.153,2.058
Facundo Altamira,Defensa y Justicia,DEL,6,2.342,2.025
Lucas Varaldo,Central Córdoba,DEL,14,2.102,1.949
Mateo Bajamich,Estudiantes de Río Cuarto,DEL,19,1.957,1.945
Eric Ramírez,Huracán,DEL,10,1.811,1.911
Matías Hernández,San Lorenzo,DEL,2,2.87,1.831
Emiliano Chiavassa,CA Talleres,DEL,9,1.486,1.781
Luciano Giménez,Huracán,DEL,7,1.69,1.772
Manuel Brondo,Atlético Tucumán,DEL,12,1.876,1.746
Francisco Scarpeccio,Newell's Old Boys,DEL,11,1.581,1.626
Jeremías Lucco,Club Atlético Belgrano,DEL,3,1.884,1.478
David Fernández,Defensa y Justicia,DEL,3,1.03,1.279
Javier Ferreira,Estudiantes de Río Cuarto,DEL,18,1.159,1.173
Agustín Morales,Estudiantes de Río Cuarto,DEL,1,1.14,1.14
Federico Anselmo,Banfield,DEL,9,1.247,1.123
Joaquin Flores,Central Córdoba,DEL,7,1.307,1.088
